id	nome	url short youtube	encurtada goo.gl	descricao	descrição curta	exibicao	reapresentacao	reprise
1	Mulher e Mídia	https://youtu.be/UmcGBukyFjE	https://goo.gl/BdgTWZ	O MULHERE-SE abordou a relação entre as Mulheres e as Mídias, em uma roda de debate com comunicadoras, jornalistas e blogueiras. Biografia: Jornalista Carmem da Silva por Carla Vilaça Sarau: Madu dos Santos, Negra Lud, Sara Não Tem Nome e Mima Fernandes. o destaque do Biografia é a jornalista Carmem da Silva, pela blogueira e jornalista Carla Vilaça. O Sarau apresenta a performer Madu dos Santos, da MC e militante da cultura Hip-Hop Negra Lud, da multiartista Sara Não Tem Nome e da cantora Mima Fernandes.	O MULHERE-SE abordou a relação entre as Mulheres e as Mídias, em uma roda de debate com comunicadoras, jornalistas e blogueiras. Biografia: Jornalista Carmem da Silva por Carla Vilaça Sarau: Madu dos Santos, Negra Lud, Sara Não Tem Nome e Mima Fernandes.	17/03/2016	15/09/2016	15/09/2016
2	Mulher e Política	https://youtu.be/-Zl_VvJ2fNs	https://goo.gl/EptHOy 	Para debater a presença das mulheres na politica temos uma conversa com Larissa Amorim Borges, subsecretária de Políticas para Mulheres de Minas Gerais, e Áurea Carolina, cientista política. Biografia: da professora e antropóloga mineira Lélia Gonzalez, contamos com Vanessa Eleutério Miranda, professora da UFMG. E tem Sarau com a poeta Nívea Sabino, a artista plástica e performer Camila Lacerda, a cantora Maíra Baldaia e a artista plástica e performer Priscila Resende.	Para debater a presença das mulheres na politica temos uma conversa com Larissa Amorim Borges, subsecretária de Políticas para Mulheres de Minas Gerais, e Áurea Carolina, cientista política. Biografia:  professora e antropóloga mineira Lélia Gonzalez, contada por Vanessa Eleutério Miranda, professora da UFMG. Sarau: Nívea Sabino,  Camila Lacerda, Maíra Baldaia e  Priscila Resende.	24/03/2016	27/03/2016	
3	Mulher e Arte	https://youtu.be/wZoKyltkU7A	https://goo.gl/FkCK2E 	No debate sobre a relação e representação da mulher na arte, contamos com a participação das produtoras do DiversaS - Feminismo, Arte e Resistência Paula Kimo, Michelle Sá Maíra Baldaia e Polly Honorato. No Sarau, você confere as apresentações da artista visual Jeannie Helleny , da performer Sthephanny Di Monaco Esteves e da artista plástica e professora Marta Neves. E ainda tem a biografia de Dona Valdete contada por sua filha Marilda Cordeiro.	No debate sobre a relação e representação da mulher na arte, contamos com a participação das produtoras do DiversaS - Feminismo, Arte e Resistência Paula Kimo, Michelle Sá Maíra Baldaia e Polly Honorato.  Sarau:  Jeannie Helleny,  Sthephanny Di Monaco Esteves e  Marta Neves. Biografia:  Dona Valdete contada por sua filha Marilda Cordeiro.	31/03/2016	03/04/2016	22/09/2016
4	Mulher e Educação	https://youtu.be/LLRn6RtEqOw	https://goo.gl/6k7E8s	Conversamos com a educadora Nina Caetano faz uma análise da escola hoje. Ela é inclusiva, horizontal? Como estão as mulheres nesse processo? No Biografia, quem conta a história da educadora Helena Antipoff é a professora Marilene Oliveira Almeida. No Sarau, tem dança com Aline Mathias, música com Bigha Maia, performance com Ártemis Garrido e teatro com Jessica Tamietti.	Conversamos com a educadora Nina Caetano faz uma análise da escola hoje. Ela é inclusiva, horizontal? Como estão as mulheres nesse processo? Biografia:História da educadora Helena Antipoff contada pela professora Marilene Oliveira Almeida. Sarau: Aline Mathias, Bigha Maia, Ártemis Garrido e Jessica Tamietti.	07/04/2016	10/04/2016	29/09/2016
5	Paradigmas Sociais	https://youtu.be/k3fB-O0byms	https://goo.gl/ejE0Cr	Passamos por questões estéticas, raciais e sociais para abordar os paradigmas sociais das mulheres. A biografia é da escritora Carolina Maria de Jesus, sua história é contada pela jornalista e fotógrafa Simone Moura. E o nosso Sarau conta com as irmãs gêmeas e palhaças Lais e Thais Oliveira, a cantora Talita Barreto, a performer Noemi Assumpção e a poetiza Zi Reis.	Passamos por questões estéticas, raciais e sociais para abordar os paradigmas sociais das mulheres. Biografia:  Carolina Maria de Jesus, contada pela jornalista e fotógrafa Simone Moura. Sarau:  Lais e Thais Oliveira, Talita Barreto, Noemi Assumpção e  Zi Reis.	14/04/2016	17/04/2016	06/10/2016
6	Sexo Ágil	https://youtu.be/qU1B8b6PJCs	https://goo.gl/J7nLYw	A cantora brasileira Karina Buhr compartilha com a gente suas opiniões sobre mulheres, relações maternas, educação e aborto. A biografia da semana revela a força e a coragem de uma das grandes criadoras da arte da performance, Marina Abramovic.	A cantora brasileira Karina Buhr compartilha com a gente suas opiniões sobre mulheres, relações maternas, educação e aborto. Biografia: Marina Abramovic.	21/04/2016	24/04/2016	13/10/2016
7	Sujeitas Históricas	https://youtu.be/IcTyTfBs8eA	https://goo.gl/Rw0fJZ	Trazemos a história de grandes mulheres que deixaram um legado importante para as artes, como a escrita, a pintura e a performance. A professora Constância Lima Duarte conta a história da artista Nísia Floresta (escritora) no Biografia. No Sarau, tem muita arte: violão com Jéssica Senhorinii; rap com Emily Roots e poesia com Tatiana Nascimento.	Trazemos a história de grandes mulheres que deixaram um legado importante para as artes, como a escrita, a pintura e a performance. Biografia: A professora Constância Lima Duarte conta a história da artista Nísia Floresta. Sarau: Jéssica Senhorini; Emily Roots e Tatiana Nascimento.	28/04/2016	01/05/2016	20/10/2016
8	Mulheres em Luta	https://youtu.be/nvUuVbbv-1E	https://goo.gl/tbQHpG	Acompanhamos diversas mulheres que participaram da Marcha Das Mulheres Pela Democracia, que ocorreu em BH no dia 29/04. A biografia traz a filósofa, escritora e feminista francesa Simone de Beauvoir, autora da famosa frase “Não se nasce mulher, torna-se mulher”. No nosso Sarau, tem poesia com Steefani Stradioto, a performance Fragmentos, da artista Gilmara Oliveira e dança com Ana Tuiã.	Acompanhamos diversas mulheres que participaram da Marcha Das Mulheres Pela Democracia, que ocorreu em BH no dia 29/04. Biografia: Simone de Beauvoir. Sarau: Steefani Stradioto, Gilmara Oliveira e Ana Tuiã.	05/05/2016	08/05/2016	
9	Feminismos: Salto às práticas democráticas	https://youtu.be/OV_lK8LX160	https://goo.gl/R3fwYK 	Convidamos a filósofa e escritora Márcia Tiburi, que acredita no feminismo para uma mudança radical na democracia. Alzira Rufino, escritora e ativista política que atua no Movimento de Mulheres Negras, tem sua biografia contada pela historiadora Luana Tolentino. No Sarau com as Pretinhas Correria mandando um rap; música com Paula e Laura Sette, e as meninas do Bloco Bruta Flor.	Convidamos a filósofa e escritora Márcia Tiburi, que acredita no feminismo para uma mudança radical na democracia. Biografia: Alzira Rufino contada pela historiadora Luana Tolentino. Sarau: Pretinhas Correria, Paula e Laura Sette, e Bloco Bruta Flor.	12/05/2016	15/05/2016	
10	Lutar, Ocupar e Re-existir: Ocupação Tina Martins	https://youtu.be/6ueUgUMVgUM	https://goo.gl/q2jY2g	Apresentamos a luta da Ocupação Tina Martins, Mulheres feministas, que fazem parte do Movimento de Mulheres Olga Benário - MG. A militante Thatiane Mátia conta a história de Espertirina, á Tina Martins. Os saraus ficam por conta de Ana Roberto, que canta a canção “Maria da Vila Matilde”, de Elza Soares, e das poetas Gabriela Nascimento e Natana Coelho.	Apresentamos a luta da Ocupação Tina Martins, Mulheres feministas, que fazem parte do Movimento de Mulheres Olga Benário - MG. Biografia: A militante Thatiane Mátia conta a história de Espertirina, á Tina Martins. Sarau: Ana Roberto, Gabriela Nascimento e Natana Coelho.	19/05/2016	22/05/2016	
